included,category,dataset,mean,lower,upper,LR
6,24H-MFN,Gowalla,0.09226422544071694,0.07792814586061601,0.10816292417963515,SLR
6,24H-MFN,Weeplace,0.08280443656358365,0.07454690716525776,0.0918705815169556,SLR
6,All-MFN,BrightKite,0.10476274085051814,0.07080819006249985,0.14626010468211778,SLR
6,All-MFN,Gowalla,0.02708527239320235,0.020468234807388633,0.035408328454180696,SLR
6,All-MFN,Weeplace,0.010623785934436632,0.00830814250746742,0.013400517803529025,SLR
6,D-MFN,BrightKite,0.129906104280344,0.09995851477818654,0.1625645425050614,SLR
6,D-MFN,Gowalla,0.09491952498801244,0.08083818818556049,0.11022521785323765,SLR
6,D-MFN,Weeplace,0.08824498635106086,0.08008565695288217,0.09701148149810847,SLR
6,H-MFN,BrightKite,0.15004434155292917,0.1134383308562992,0.1927162300434099,SLR
6,H-MFN,Gowalla,0.09065658092063127,0.0765509067487439,0.10588701411092584,SLR
6,H-MFN,Weeplace,0.08575598177900542,0.07700493199448459,0.09519643629299973,SLR
6,TFN,BrightKite,0.0750192278294456,0.05379222714861314,0.09864593878037271,SLR
6,TFN,Gowalla,0.07112433458733457,0.05569305898349315,0.08840649960562545,SLR
6,TFN,Weeplace,0.06681352112525475,0.05833468096813669,0.07622136036981578,SLR
7,24H-MFN,BrightKite,0.13425482856710824,0.10116913227214656,0.17325535037598297,SLR
7,24H-MFN,Gowalla,0.09344508843636865,0.07792551127511053,0.11071468693587319,SLR
7,24H-MFN,Weeplace,0.07792130546445002,0.07058952255409395,0.08581330869998538,SLR
7,All-MFN,BrightKite,0.075656858910865,0.05379960643914423,0.10163738961270206,SLR
7,All-MFN,Gowalla,0.02023631676761852,0.01546263453076038,0.026524370622842987,SLR
7,All-MFN,Weeplace,0.009146062163900908,0.006685175680116639,0.012388381865772277,SLR
7,D-MFN,BrightKite,0.12715143678629515,0.10009530719178686,0.15836955282225396,SLR
7,D-MFN,Gowalla,0.09224314404079037,0.07943508107887506,0.10571511514473535,SLR
7,D-MFN,Weeplace,0.08238871462987707,0.07474685727227912,0.09067202796836513,SLR
7,H-MFN,BrightKite,0.11586428395434821,0.08866947606184544,0.14726286221492363,SLR
7,H-MFN,Gowalla,0.08805037359448707,0.07362871462142652,0.10351269252258384,SLR
7,H-MFN,Weeplace,0.08052114522889184,0.07295924465183137,0.08845034211030131,SLR
7,TFN,BrightKite,0.04076218520558429,0.028105938179985187,0.0550981351014305,SLR
7,TFN,Gowalla,0.07287470273040911,0.05588521467592739,0.09194243212743985,SLR
7,TFN,Weeplace,0.06236887815359697,0.055182802203216634,0.07013695294479644,SLR
8,24H-MFN,BrightKite,0.11988266007877026,0.08932032523665996,0.15452314807513,SLR
8,24H-MFN,Gowalla,0.08318187978771294,0.07151147742583738,0.09550784403509902,SLR
8,24H-MFN,Weeplace,0.0716294062181742,0.06414080940810173,0.07939093644040825,SLR
8,All-MFN,BrightKite,0.08837507433318836,0.059585875236172946,0.12114448769113587,SLR
8,All-MFN,Gowalla,0.014904321450906342,0.012126318223506481,0.01832214259579485,SLR
8,All-MFN,Weeplace,0.00797256451860252,0.005525465290850957,0.011191931221412895,SLR
8,D-MFN,BrightKite,0.1341803892340145,0.10071817863676757,0.17334165542117944,SLR
8,D-MFN,Gowalla,0.08059876645386028,0.06917133037006078,0.09296015274312852,SLR
8,D-MFN,Weeplace,0.08071027429317883,0.0730879551993119,0.08940226959113182,SLR
8,H-MFN,BrightKite,0.11126279488666971,0.08404798143875461,0.1427762050855603,SLR
8,H-MFN,Gowalla,0.07835914744097007,0.06545345282009224,0.09211475693370641,SLR
8,H-MFN,Weeplace,0.0716816947017642,0.06445235041978635,0.07938295252817983,SLR
8,TFN,BrightKite,0.05227638622254024,0.036262745844340825,0.07148276964238114,SLR
8,TFN,Gowalla,0.06269803059810554,0.05107907289647278,0.07546591621770798,SLR
8,TFN,Weeplace,0.06100226671169267,0.05394113578402646,0.06865498064767142,SLR
9,24H-MFN,BrightKite,0.11908130416088042,0.08849593424662344,0.1537544088416771,SLR
9,24H-MFN,Gowalla,0.07145614335820594,0.0599792989926082,0.08425091365760246,SLR
9,24H-MFN,Weeplace,0.07022854821908484,0.06332007321906444,0.07743395406256293,SLR
9,All-MFN,BrightKite,0.08195068091002922,0.05833510992987159,0.10933805377942324,SLR
9,All-MFN,Gowalla,0.010631572564663487,0.008959026825210353,0.012488339253725151,SLR
9,All-MFN,Weeplace,0.00872096387083869,0.005105648045565802,0.013620563389275258,SLR
9,D-MFN,BrightKite,0.09841894916859384,0.0777599334392157,0.12107983026948578,SLR
9,D-MFN,Gowalla,0.07707704362916287,0.06547255459621146,0.09010874176490324,SLR
9,D-MFN,Weeplace,0.07394144385974318,0.06777107010178875,0.08055953958204484,SLR
9,H-MFN,BrightKite,0.10024416736718937,0.06914571982039915,0.1373672447913968,SLR
9,H-MFN,Gowalla,0.07154639397998169,0.05877649404466273,0.08560784223962953,SLR
9,H-MFN,Weeplace,0.06629659937040805,0.06015797653463367,0.07280777502163528,SLR
9,TFN,BrightKite,0.04064021691557998,0.025914057235079696,0.0591097607488889,SLR
9,TFN,Gowalla,0.06946285433356861,0.05591742850077865,0.08429229920643126,SLR
9,TFN,Weeplace,0.05913067560347215,0.051968278231083374,0.06642606031787669,SLR
10,24H-MFN,BrightKite,0.10235201072044885,0.0766701718480497,0.13082360418176814,SLR
