included,category,dataset,mean,lower,upper,mean_CCE,lower_CCE,upper_CCE
7,TFN,Gowalla,0.9782370998071988,0.9232559941648781,1.0404926937923382,1.0454659758701133,1.0244747505320222,1.067106378335936
7,TFN,Weeplace,0.7956605200814832,0.7721251303411908,0.8184140969375843,1.1771603306648455,1.1539084397677857,1.2021985823497687
8,CB-1D-MFN,BrightKite,0.78548043419976,0.7349752047170385,0.8317688273076488,1.349942661700275,1.2664449227338626,1.4542002748181948
8,CB-1D-MFN,Gowalla,0.9689221612346015,0.9195597050331441,1.023926758546792,1.045922436985643,1.0250248266312258,1.0678942380713223
8,CB-1D-MFN,Weeplace,0.8150070344347711,0.7918930484199783,0.838039366693719,1.1647008212734107,1.1427840180107685,1.1880515644085212
8,CB-1H-MFN,BrightKite,0.8091899832231366,0.7664471873481663,0.8503698908746161,1.3212176188172093,1.2390079378907155,1.4252916703713876
8,CB-1H-MFN,Gowalla,0.9682700346629233,0.9171021706400847,1.0229145954499572,1.0500340660740386,1.027493704836246,1.073032908295708
8,CB-1H-MFN,Weeplace,0.807691787860812,0.784454424221881,0.8309842404927138,1.1700063619486716,1.1463874897023967,1.195667208131052
8,SW-24H-MFN,BrightKite,0.7879524782664824,0.7417255692911429,0.8324166153450053,1.3431257310802394,1.2590856413619063,1.4463380883128587
8,SW-24H-MFN,Gowalla,0.9624182352357641,0.9122563259077563,1.0159614405246082,1.0498579225378173,1.0285350870222907,1.0726462178187286
8,SW-24H-MFN,Weeplace,0.8019783485777494,0.7787572473437874,0.8255241946729485,1.172815552031797,1.1501827130637483,1.1965503052456108
8,TFN,BrightKite,0.7943348346862237,0.7503885992962434,0.835602264508076,1.3976990953065085,1.3029366220264924,1.5096816814819387
8,TFN,Gowalla,0.9950727106018991,0.9413187049017809,1.0551077994099287,1.0377996637334541,1.0169203671427427,1.0600048556110149
8,TFN,Weeplace,0.8146076106385729,0.7913912407431012,0.8380839990980063,1.1650995805279691,1.1416604082271398,1.1900466036854862
9,CB-1D-MFN,BrightKite,0.7969106936923392,0.7489909111133972,0.8413534526718506,1.3332052477804472,1.2513280601035248,1.4366665949907849
9,CB-1D-MFN,Gowalla,0.9888333853938323,0.9380802982690689,1.046253754024129,1.0374881105748197,1.0162517925318568,1.0585655563580625
9,CB-1D-MFN,Weeplace,0.834455481156755,0.8116040757130933,0.8580300415291495,1.1525187775625545,1.1301410711685238,1.17634354193779
9,CB-1H-MFN,BrightKite,0.8171380883509595,0.7744640995309457,0.8567592843155595,1.3088332255077342,1.2283936847440708,1.4105973688247322
9,CB-1H-MFN,Gowalla,0.9869443285401844,0.934864405382225,1.0430799483352637,1.04170115457822,1.0193688038444382,1.0645084877708293
9,CB-1H-MFN,Weeplace,0.8253041646355845,0.8014241995318432,0.8485555535375661,1.158503306484038,1.13565162734984,1.1821627242398005
9,SW-24H-MFN,BrightKite,0.7973618901508993,0.752133280366285,0.8414064252262684,1.3273447333740265,1.2444923652800652,1.4305600973365578
9,SW-24H-MFN,Gowalla,0.9837362514772402,0.9323159036207216,1.0403600569708915,1.0407315950377496,1.0189376771014704,1.0631089298497685
9,SW-24H-MFN,Weeplace,0.819061876886772,0.7961254431985035,0.8423019785555718,1.1618996373613422,1.1397631709364189,1.1853122495145991
9,TFN,BrightKite,0.8023814557827873,0.760031469640185,0.8416653608426168,1.3855524649214985,1.2923313306372095,1.501224399837532
9,TFN,Gowalla,1.0145413652393727,0.9610289767097984,1.07492249639309,1.0281354153146816,1.0075467454307137,1.0502456713508448
9,TFN,Weeplace,0.8325250859018293,0.8088910922952843,0.8559273131809793,1.1536642667429917,1.130865441940162,1.1792868663281995
10,CB-1D-MFN,BrightKite,0.8050431221950892,0.7609910866337026,0.8491022792613359,1.3232190099754524,1.2417531891765472,1.4241944473821826
10,CB-1D-MFN,Gowalla,1.0080169747369667,0.9560086876005482,1.0665224714401071,1.0294885336285593,1.008399551023424,1.051087413569395
10,CB-1D-MFN,Weeplace,0.8506014583796525,0.8269450122125892,0.8731635811164298,1.141651285902823,1.1202573156825726,1.1649756975950307
10,CB-1H-MFN,BrightKite,0.8222958556580386,0.7803416003676448,0.8628459766878649,1.2984726806736682,1.2200573933259424,1.4016648986881624
10,CB-1H-MFN,Gowalla,1.0029236916898934,0.9493017223663753,1.0611291342547917,1.0348774853071365,1.0127212819243803,1.0582337601336385
10,CB-1H-MFN,Weeplace,0.8386723206314232,0.8149854585284819,0.8621753086728003,1.1500476506724544,1.127744576258065,1.173810965407701
10,SW-24H-MFN,BrightKite,0.8072679566243274,0.7644004165988171,0.8507681350811847,1.3134195135871185,1.232248106072987,1.416730589632601
10,SW-24H-MFN,Gowalla,0.9985546394092625,0.9473545006173446,1.0559920360363095,1.0344343730123362,1.0130969583329181,1.0569442854611664
10,SW-24H-MFN,Weeplace,0.8341869758605087,0.8109815137377143,0.8572106295596553,1.151690266854809,1.1294573999691508,1.1755875720431785
10,TFN,BrightKite,0.8074811739036997,0.7647997742344251,0.847443442555761,1.377870901285515,1.2827616613451702,1.4937651638067733
10,TFN,Gowalla,1.0309880230989845,0.978740193295342,1.0903769667218282,1.0198145471998896,0.9994434269659174,1.0409841138242593
10,TFN,Weeplace,0.8469874067538083,0.8235852576946502,0.8705291011398663,1.1444967762314209,1.1212649759630273,1.1691945520080431
