included,category,dataset,mean,lower,upper
8,SW-24H-MFN,Gowalla,0.967884871849453,0.916816679281602,1.0217461846998843
8,SW-24H-MFN,Weeplace,0.8034418842642725,0.7799382045889031,0.8271777463805451
8,TFN,BrightKite,0.8413997945058527,0.8029273708569457,0.8774053241292
8,TFN,Gowalla,1.1023989317263432,1.0392008622144377,1.1809403228087
8,TFN,Weeplace,0.8469275617957557,0.8256200534564628,0.8681158340587164
8,WT-MFN,BrightKite,0.7714475167716142,0.7280100365866192,0.8149504325992737
8,WT-MFN,Gowalla,0.7426305621323978,0.6860827669054148,0.8053985385996545
8,WT-MFN,Weeplace,0.47143333995640624,0.45558508646848656,0.4876554004994431
9,CB-1D-MFN,BrightKite,0.7932879928851392,0.7466297703476324,0.8390553925561137
9,CB-1D-MFN,Gowalla,0.9915274536694179,0.9398928056153087,1.0461949306700673
9,CB-1D-MFN,Weeplace,0.8351476095313239,0.8120516962694333,0.8581934299930069
9,CB-1H-MFN,BrightKite,0.8123219288157681,0.7692797333926846,0.8545138651636383
9,CB-1H-MFN,Gowalla,0.980818318807544,0.9311596024596945,1.0334688300852388
9,CB-1H-MFN,Weeplace,0.8251129758341078,0.80144385658857,0.8485087794957561
9,SW-24H-MFN,BrightKite,0.7958939384823243,0.7501335911980457,0.8404279114696384
9,SW-24H-MFN,Gowalla,0.9848959073907485,0.9344780426466489,1.0402371027097614
9,SW-24H-MFN,Weeplace,0.8229101095229275,0.8004133282085931,0.8464353402963914
9,TFN,BrightKite,0.842814346502244,0.8050669118096314,0.8784663793570784
9,TFN,Gowalla,1.1080149561220871,1.0434210868798601,1.1828468849572855
9,TFN,Weeplace,0.8589556588011087,0.8372730267348953,0.8805550659720676
9,WT-MFN,BrightKite,0.7851009243906726,0.7422189000236874,0.8275921915795718
9,WT-MFN,Gowalla,0.7526428056308988,0.6951268480602781,0.8148888503685761
9,WT-MFN,Weeplace,0.47766509804031615,0.46145116436478656,0.4935958725302101
10,CB-1D-MFN,BrightKite,0.8017084942899411,0.7552683182936681,0.8461720965771725
10,CB-1D-MFN,Gowalla,1.0090421908604366,0.9577230536678897,1.067252393255923
10,CB-1D-MFN,Weeplace,0.8509830842190478,0.8272643354466639,0.8737115555134911
10,CB-1H-MFN,BrightKite,0.8180609533951403,0.775346517676771,0.858305165213499
10,CB-1H-MFN,Gowalla,0.9968811899105876,0.9465616682603716,1.0522012990175686
10,CB-1H-MFN,Weeplace,0.8425554391709897,0.8191528004658298,0.8661698335375091
10,SW-24H-MFN,BrightKite,0.8061768650597295,0.7622238022390112,0.8495646541220399
10,SW-24H-MFN,Gowalla,1.0029027669549624,0.9512155564391873,1.0591593375044157
10,SW-24H-MFN,Weeplace,0.8372906482458835,0.8141972653625263,0.8604039346183687
10,TFN,BrightKite,0.8451694984159072,0.8069402457691238,0.8818802029820372
10,TFN,Gowalla,1.114411667342137,1.0493764864083035,1.1927966639589715
10,TFN,Weeplace,0.8689920681307908,0.8474312262392554,0.8910711865271854
10,WT-MFN,BrightKite,0.7963100994653345,0.7530816800931404,0.8372642341525213
10,WT-MFN,Gowalla,0.7616992753122539,0.7033670462134938,0.8261328972146933
10,WT-MFN,Weeplace,0.48349212508180744,0.46763239815631286,0.4997839052488465
