,Ego,Cross Entropy
80-20,joanna-belbey,-4.539187769
80-20,joe-hall,-3.929707022
80-20,joe-rideout,-8.421441642
80-20,joey-leslie,-6.395271221
80-20,john-carew,-3.885614561
80-20,john-decicco,-4.543970183
80-20,john-fayard,-2.516667577
80-20,john-lyons,-5.238565764
80-20,john-mccartney,-2.639126855
80-20,john-preston-jr,-4.615013406
80-20,john-rojas,-3.3792685
80-20,john-sanchez2,-4.294038449
80-20,john-wallace6,-2.971419253
80-20,john-wiseman,-2.777015254
80-20,john-zanussi,-4.12070284
80-20,john1,-2.232900357
80-20,jon-accarrino,-6.752641058
80-20,jon-rohan,-5.96140621
80-20,jon-steinberg,-3.288839459
80-20,jonathan-kopp,-7.801914713
80-20,jonathan-vu,-3.807392752
80-20,jong-hyeon-choi,-1.90956215
80-20,jose-gutierrez,-4.346033221
80-20,joselin-mane,-6.962579767
80-20,josh-copeland,-6.589538932
80-20,josh-rubin,-4.273029428
80-20,josh-weinberger-kitson,-3.876093907
80-20,joshua-ehart,-2.846933418
80-20,joshua-kaufman,-2.742824362
80-20,joy-londok,-3.81199969
80-20,jp-kim,-2.130628943
80-20,jr47,-4.624444094
80-20,justin-kalifowitz,-6.947378465
80-20,justin-moore,-2.367901814
80-20,justin-thorp,-2.777616367
80-20,k_sukigara,-2.821991004
80-20,kaerugeko,-4.121645488
80-20,kaichi-kuroda,-4.761373822
80-20,kanoka,-3.090996883
80-20,karen-lee,-2.152272082
80-20,karen-monahan,-3.167491655
80-20,karma,-4.43959579
80-20,kate-goldsmith,-3.350598842
80-20,kate-hypes,-5.014342105
80-20,kate-ritchie,-4.331059852
80-20,katie-meza,-4.871577516
80-20,kazu-skywalker,-1.814853322
80-20,kazuhito-kidachi,-3.899153379
80-20,kazuya-takeshima,-2.823411976
80-20,keegan-jones,-6.331343418
80-20,keegan-y-v,-5.059319247
80-20,keith-robinson,-3.656388964
80-20,kelly-lavaute,-3.875541969
80-20,kelly-sutton,-3.834319643
80-20,kemosan,-3.514314866
80-20,kenneth-auchenberg,-4.253121048
80-20,kevin-dando,-4.072487495
80-20,kevin-gawthrope,-3.993509772
80-20,kevin-pfefferle,-6.182497272
80-20,kevin-silverman,-4.216529853
80-20,kevin-skobac,-4.557831723
80-20,keynas-jeong,-5.886002834
80-20,khoa-le,-3.87965564
80-20,kibbe,-3.869389857
80-20,kimberly-the-bold-iv,-4.250915207
80-20,kira,-5.039049992
80-20,koichi,-3.754303992
80-20,komata-yuichiro,-4.093320318
80-20,koray-caner-ozturk,-4.992468672
80-20,korobkov,-2.972231885
80-20,kristin-maverick,-3.675487858
80-20,krystyl-b,-4.592922364
80-20,kushal-dave,-4.325078808
80-20,kyle-cameron-studstill,-6.526556257
80-20,kyle-dean-reinford,-4.0687484
80-20,kyujin-lee,-4.490924767
80-20,kyung-jin-kim,-2.70806166
80-20,lars-bastholm,-6.329457338
80-20,laura-boychenko,-2.865061377
80-20,laura-macleod,-3.109363521
80-20,lauren-hannah,-3.40016061
80-20,leeclo,-3.215155273
80-20,len-kendall,-2.613294609
80-20,lesley-forrester,-3.380324329
80-20,lindsay-kaplan,-4.418078652
80-20,lindsey-lanpher,-3.809493569
80-20,liz-b,-3.476522318
80-20,lizzy,-4.686434802
80-20,localkit,-3.149321852
80-20,lockhart-steele,-3.726824693
80-20,loop99,-3.47745908
80-20,loritodd,-3.845207399
80-20,maarten-peschier,-3.360974112
80-20,mac,-5.133930549
80-20,maggie-liu,-2.827610608
80-20,magnus-martin,-5.873389628
80-20,malcolm-ong,-4.882843586
80-20,malte-goesche,-1.910961705
80-20,manabu-tanaka,-1.882649958
80-20,manisha-m,-4.137728516
80-20,marc-vermut,-5.076645633
80-20,marcelino-alvarez,-4.4815647
80-20,marci-ikeler,-3.438529142
80-20,marcos-lopez-carlson,-2.128104543
80-20,marcus1,-2.403412668
80-20,maria-ogneva,-3.716568529
80-20,mario-anima,-5.792452907
80-20,mark-burstiner,-4.15844619
80-20,mark-g,-4.845446171
80-20,mark-graham,-3.355448234
80-20,mark-himmelsbach,-4.453373078
80-20,markus-eckartz,-5.361361533
80-20,marla-mccormick,-4.486391067
80-20,martin-thornkvist,-5.888442126
80-20,mary-ann-porch,-3.644680937
80-20,mary-crosse,-2.61146506
80-20,mary-elise-chavez,-2.315915752
80-20,mash-lol,-5.058245443
80-20,mathieu,-3.776169901
80-20,matsukaz,-5.813359453
80-20,matt-britton,-5.034007215
80-20,matt-ellsworth,-3.988008549
80-20,matt-galligan,-3.839168078
80-20,matt-ganzak,-3.639931784
80-20,matt-hagel,-4.294924683
80-20,matt-hunter,-4.507369465
80-20,matt-hurst,-4.469832145
80-20,matt-van-horn,-4.321780826
80-20,matt-wurst,-4.092476176
80-20,matthew-caldecutt,-3.544590235
80-20,matthew-lucero,-2.744607744
80-20,matthew-pantoja,-3.256346138
80-20,matthew-schultz,-4.464463321
80-20,maura-johnston,-2.768943541
80-20,maya-baratz,-3.774572359
80-20,meghan-keane,-5.575776577
80-20,meghan-murphy,-3.93905157
80-20,melodie-tao,-5.019315759
80-20,meryl-cooper,-2.392695329
80-20,micah-baldwin,-4.615680493
80-20,micah-craig,-4.452998799
80-20,micah-saul,-3.143725841
80-20,michael-disalvo,-4.823790828
